,mileage,make,model,fuel,gear,offerType,price,hp,year
1,92800,0,0,0,0,0,6877,122.0,2011
2,149300,1,1,0,0,0,6900,160.0,2011
3,96200,2,2,0,0,0,6950,110.0,2011
4,156000,3,3,0,0,0,6950,156.0,2011
5,147000,4,4,1,1,0,6950,99.0,2011
6,91894,2,5,2,0,0,6970,131.0,2011
7,127500,5,6,0,0,0,6972,116.0,2011
8,115000,6,7,0,1,0,6980,150.0,2011
9,104,7,8,2,0,0,6990,86.0,2011
10,59580,5,9,2,1,0,6990,101.0,2011
11,84000,0,0,0,0,0,6990,105.0,2011
13,109000,8,10,0,0,0,6990,141.0,2011
14,194020,9,11,2,0,0,6999,120.0,2011
15,72000,0,12,0,0,0,6999,60.0,2011
16,190000,2,13,2,0,0,6999,150.0,2011
17,190000,2,14,2,0,0,6999,150.0,2011
18,85700,10,15,2,0,0,6999,135.0,2011
19,82000,5,16,0,0,0,7000,101.0,2011
20,44800,11,17,0,1,0,7850,86.0,2012
21,81970,0,0,0,0,0,7850,105.0,2012
22,24000,12,18,0,0,0,7900,105.0,2012
23,193333,0,19,2,0,0,7900,105.0,2012
24,113000,0,20,0,0,0,7900,105.0,2012
25,117000,0,21,0,0,0,7949,105.0,2012
27,104250,5,22,0,0,0,7950,140.0,2012
28,151250,3,3,2,0,0,7950,163.0,2012
29,133500,13,23,2,0,0,7980,143.0,2012
30,105000,5,22,0,0,0,7980,179.0,2012
31,114164,7,24,0,0,0,7990,125.0,2012
32,128000,14,25,2,0,0,7990,90.0,2012
33,150000,13,23,2,0,0,7999,143.0,2012
34,160000,14,26,0,0,0,7999,122.0,2012
35,165000,15,27,2,0,0,8000,109.0,2012
36,51200,2,5,0,0,0,8000,131.0,2012
37,107000,5,28,2,0,0,8000,160.0,2012
38,130000,14,29,0,0,0,8000,98.0,2012
39,214000,13,30,2,1,0,8199,184.0,2012
40,73760,5,6,0,0,0,8990,140.0,2013
41,113000,0,20,0,0,0,8990,160.0,2013
42,108803,16,31,2,0,0,8990,116.0,2013
43,7400,5,32,0,0,0,8990,101.0,2013
45,86980,7,33,0,0,0,8995,120.0,2013
46,98000,0,34,2,1,0,8999,105.0,2013
47,98988,7,8,2,0,0,8999,101.0,2013
48,41124,5,32,0,0,0,8999,101.0,2013
49,170000,0,35,2,0,0,8999,140.0,2013
51,80500,13,36,0,0,0,9000,102.0,2013
52,195327,7,37,2,0,0,9000,140.0,2013
53,143316,0,35,0,1,0,9000,140.0,2013
54,98100,1,38,0,0,0,9100,122.0,2013
55,113000,9,39,0,0,0,9100,86.0,2013
56,94000,0,34,2,0,0,9200,105.0,2013
57,68700,8,40,0,0,0,9290,140.0,2013
58,169500,4,41,2,0,0,9300,126.0,2013
59,77000,0,42,0,1,0,9300,122.0,2013
60,45600,7,43,0,0,0,8990,80.0,2014
61,230000,5,44,2,0,0,8990,140.0,2014
62,99756,0,12,0,0,0,8990,105.0,2014
63,84600,4,45,1,1,0,8990,143.0,2014
64,73000,16,46,0,0,0,8990,125.0,2014
65,133180,0,34,2,0,0,8990,105.0,2014
66,22700,0,47,0,0,0,8990,60.0,2014
